Capture Date,ID,d15N,d13C,Morph,Species,Zone,Sex,Carapace length (mm),Carapace width (mm),Height (mm),Plastron (mm),3rd foreclaw length (mm),Mass (g),Annuli,Notes,Carapace length (cm),Carapace width (cm),Height (cm),Plastron length (cm)
6/18/2018,BLP,,,x,C. picta,8,F,74.6,64.7,32.2,67.3,5.2,30,5,Pooped (on my notebook...),7.46,6.47,3.22,6.73
5/31/2018,BLV,,,x,C. picta,11,F,70.1,62.6,27.8,63.5,5.1,40,2,,7.01,6.26,2.78,6.35
6/1/2018,BLW,,,x,C. picta,11,F,77.4,67.5,34.0,70.9,5.4,60,2,,7.74,6.75,3.4,7.09
6/1/2018,BLX,,,x,C. picta,11,I,86.4,70.4,34.5,79.3,8.2,40,3,,8.64,7.04,3.45,7.93
7/4/2019,BMOW,,,x,C. picta,11,F,108.4,82.6,42.8,102.9,5.6,170,,Recap from 6/18/18,,,,
7/2/2018,BMWX,,,-,C. picta,11,F,71.6,63.1,29.6,63.8,4.5,25,3,"Recap, measured again since it's so small",7.16,6.31,2.96,6.38
6/28/2018,BNOV,,,x,C. picta,2,F,80.0,69.0,31.0,73.0,6.0,55,4,,8,6.9,3.1,7.3
6/28/2018,BNV,,,x,C. picta,8,M,90.9,72.2,33.0,84.0,13.0,75,Non-observable,,9.09,7.22,3.3,8.4
6/28/2018,BNW,,,x,C. picta,8,F,86.0,73.0,34.0,79.0,6.0,70,4,,8.6,7.3,3.4,7.9
6/28/2018,BNX,,,x,C. picta,8,F,81.0,70.0,34.0,74.0,7.0,60,3,Leech Scarf!!!,8.1,7,3.4,7.4
7/2/2018,BVW,,,x,C. picta,11,I,71.3,65.3,29.6,65.1,5.1,30,3,,7.13,6.53,2.96,6.51
5/23/2019,CHQ,,,x,C. picta,,F,102.1,79.0,38.1,93.7,6.5,137,7,,10.21,7.9,3.81,9.37
5/31/2019,CHQ,,,-,C. picta,11,F,-,-,-,-,-,-,Non-observable,Recapture,-,-,-,-
5/23/2019,CHV,,,x,C. picta,,I,65.4,60.0,27.0,60.8,3.8,30,3,,6.54,6,2.7,60.8
5/23/2019,CHW,,,x,C. picta,,I,68.5,60.7,26.0,61.7,3.8,40,2,,6.85,6.07,2.6,6.17
5/23/2019,CIW,,,x,C. picta,,F,152.0,105.5,57.2,139.4,7.7,>500,Non-observable,,15.2,10.55,5.72,13.94
6/23/2018,CJKL,,,x,C. picta,8,F,90.7,76.5,33.6,66.3,5.4,70,6,,9.07,7.65,3.36,6.63
6/23/2018,CJKM,,,x,C. picta,11,F,72.4,58.8,23.8,61.4,3.9,20,3,,7.24,5.88,2.38,6.14
6/23/2018,CJKN,,,x,C. picta,11,F,88.2,66.2,27.9,79.2,7.0,100,Non-observable,,8.82,6.62,2.79,7.92
6/23/2018,CJKO,,,x,C. picta,11,F,121.8,87.7,45.6,113.3,7.8,215,Non-observable,,12.18,8.77,4.56,11.33
6/23/2018,CJKV,,,x,C. picta,11,M,90.4,67.6,35.7,86.3,8.7,75,6?,Faint annuli,9.04,6.76,3.57,8.63
6/23/2018,CJKW,,,x,C. picta,11,F,81.1,68.7,33.4,77.0,5.0,55,3,,8.11,6.87,3.34,7.7
6/23/2018,CJKX,,,x,C. picta,8,F,86.5,66.3,32.0,80.9,4.0,80,5,,8.65,6.63,3.2,8.09
6/23/2018,CJL,,,x,C. picta,8,M,94.7,71.3,30.8,87.1,10.6,120,Non-observable,,9.47,7.13,3.08,8.71
6/24/2018,CJLM,,,x,C. picta,18,M,85.5,71.0,34.0,78.0,7.0,60,5,,8.55,7.1,3.4,7.8
6/24/2018,CJLN,,,x,C. picta,8,F,80.0,69.5,33.0,74.0,5.0,45,4,,8,6.95,3.3,7.4
6/17/2019,CJLN,,,x,C. picta,8,F,82.9,69.9,33.6,77.5,5.8,76,Non-observed ,recap from 6/24/18,,,,
6/26/2019,CJLN,,,-,C. picta,8,F,-,-,-,-,-,-,-,Recapture from 6/17/2019 nail clip ,,,,
6/25/2018,CJLO,,,x,C. picta,11,M,127.6,88.1,45.5,114.5,11.5,235,Non-observable,,12.76,8.81,4.55,11.45
6/25/2018,CJLV,,,x,C. picta,11,M,100.3,80.1,36.5,92.5,10.0,110,7,,10.03,8.01,3.65,9.25
6/25/2018,CJLW,,,x,C. picta,8,M,89.5,71.5,33.0,83.6,9.5,75,7,Extra rear marginal scutes (did not count in marking) - extra/malformed plastron scute too,8.95,7.15,3.3,8.36
6/25/2018,CJLX,,,,C. picta,6,M,130.2,95.5,44.2,122.0,14.2,245,Non-observable,extra rear marginal scutes,13.02,9.55,4.42,12.2
6/23/2018,CJM,,,x,C. picta,8,M,81.4,68.3,32.5,73.7,7.3,50,3,,8.14,6.83,3.25,7.37
6/26/2018,CJMN,,,x,C. picta,8,M,98.0,76.9,36.4,89.0,10.6,105,Non-observable,,9.8,7.69,3.64,8.9
6/26/2018,CJMO,,,x,C. picta,8,I,73.7,61.7,28.6,67.5,4.4,25,4,,7.37,6.17,2.86,6.75
6/26/2018,CJMV,,,x,C. picta,8,F,125.6,92.6,50.3,117.5,5.9,235,Non-observable,,12.56,9.26,5.03,11.75
6/18/2019,CJMV,,,x,C. picta,8,F,125.0,92.8,49.9,117.3,5.3,256,Non-observable,Recapture from 6/26/2018,,,,
6/26/2018,CJMW,,,x,C. picta,11,F,121.5,96.6,44.6,113.9,8.0,210,Non-observable,,12.15,9.66,4.46,11.39
6/26/2018,CJMX,,,x,C. picta,11,F,115.7,91.0,44.1,104.8,7.2,,Non-observable,,11.57,9.1,4.41,10.48
6/24/2018,CJN,,,x,C. picta,18,F,75.0,65.0,32.0,64.0,5.2,45,4,,7.5,6.5,3.2,6.4
5/23/2019,CJQ,,,x,C. picta,,F,100.4,79.7,37.6,92.2,6.2,138,6,,10.04,7.97,3.76,9.22
5/23/2019,CJW,,,,C. picta,,F?,92.0,74.8,36.4,83.2,5.1,107,Non-observable,,9.2,7.48,3.64,8.32
5/28/2019,CLO,,,x,C. picta,1,M,99.9,77.5,34.2,89.7,12.6,132,8,"Missing 3rd, 4th, and 5th claws on right hand",9.99,7.75,3.42,8.97
5/28/2019,CLP,,,,C. picta,8,F,94.7,67.6,36.5,89.4,5.4,129,5,,9.47,6.76,3.65,8.94
5/28/2019,CLQ,,,x,C. picta,6,F?,83.2,71.8,32.4,76.3,5.1,86,4,Large scratch/scrape on plastron,8.32,7.18,3.24,7.63
5/28/2019,CLV,,,,C. picta,3,M,94.4,74.9,31.8,83.1,12.0,110,7,,9.44,7.49,3.18,8.31
5/30/2019,CLW,,,x,C. picta,11,M,112.7,84.6,37.8,106.4,11.5,170,Non-observable,,11.27,8.46,3.78,10.64
5/30/2019,CLX,,,x,C. picta,11,M,98.6,77.4,34.9,91.8,10.4,125,7,,9.86,7.74,3.49,9.18
5/31/2019,CM,,,x,C. picta,1,F,143.9,103.6,52.5,140.1,8.0,415,Non-observable,Gravid!!,14.39,10.36,5.25,14.01
5/31/2019,CMV,,,x,C. picta,13,M,75.9,65.7,30.1,67.6,6.1,65,4,,7.59,6.57,3.01,6.76
5/31/2019,CMW,,,x,C. picta,13,M,88.2,70.1,32.0,82.9,9.9,95,Non-observable,Recaptured 10 mins later,8.82,7.01,3.2,8.29
5/31/2019,CMX,,,x,C. picta,13,F,114.8,85.8,44.8,107.8,7.2,200,6,,11.48,8.58,4.48,10.78
5/30/2019,CN,,,x,C. picta,11,M,86.2,68.3,33.9,78.8,7.7,95,5,,8.62,6.83,3.39,7.88
5/30/2019,CNV,,,,C. picta,11,M,89.7,72.5,32.4,83.4,10.1,105,Non-observable,,8.97,7.25,3.24,8.34
5/30/2019,CNW,,,x,C. picta,11,F,137.6,100.9,52.9,124.8,7.7,325,Non-observable,,13.76,10.09,5.29,12.48
5/30/2019,CNX,,,x,C. picta,11,F,88.7,73.8,34.6,82.4,6.4,100,6,,8.87,7.38,3.46,8.24
6/6/2019,CNX,,,-,C. picta,11,F,-,-,-,-,-,-,,Recap from 5/30/19,,,,
7/4/2019,CNX,,,-,C. picta,11,F,89.4,74.3,34.1,83.0,5.1,80,,Recap from this year,,,,
5/31/2019,COV,,,x,C. picta,11,M,93.8,73.0,34.5,90.1,122.0,115,Non-observable,,9.38,7.3,3.45,9.01
5/31/2019,COW,,,x,C. picta,11,M,92.8,72.6,33.6,84.4,9.8,95,7,,9.28,7.26,3.36,8.44
5/31/2019,COX,,,x,C. picta,11,F,104.2,81.6,38.5,96.2,6.0,145,8,,10.42,8.16,3.85,9.62
5/31/2019,CPV,,,x,C. picta,11,M,97.2,76.3,33.6,88.3,10.6,115,6,,9.72,7.63,3.36,8.83
5/31/2019,CPW,,,x,C. picta,11,F,92.7,71.3,36.4,86.7,6.5,105,6,,9.27,7.13,3.64,8.67
5/31/2019,CPX,,,x,C. picta,11,F,91.9,77.7,34.5,87.3,5.9,115,5,,9.19,7.77,3.45,8.73
5/31/2019,CQV,,,x,C. picta,11,F,101.1,83.7,40.3,94.4,6.1,155,8,,10.11,8.37,4.03,9.44
5/31/2019,CQW,,,x,C. picta,11,M,83.4,66.8,30.8,77.9,6.6,80,Non-observable,,8.34,6.68,3.08,7.79
5/31/2019,CQX,,,x,C. picta,11,M,99.8,79.5,35.9,93.0,11.6,125,Non-observable,,9.98,7.95,3.59,9.3
6/6/2019,CQX,,,-,C. picta,11,-,-,-,-,-,-,-,-,Recapture from 5/31/2019,,,,
6/7/2019,CQX,,,-,C. picta,11,M,-,-,-,-,-,-,,Recap from 5/31/19,,,,
5/31/2019,CVW,,,x,C. picta,11,M,116.9,86.5,37.2,104.7,13.7,180,Non-observable,,11.69,8.65,3.72,10.47
5/31/2019,CVX,,,x,C. picta,11,F,119.7,89.9,49.5,111.8,6.5,245,Non-observable,,11.97,8.99,4.95,11.18
5/31/2019,CWX,,,x,C. picta,11,F,142.2,108.0,53.4,135.7,7.8,410,Non-observable,Gravid,14.22,10.8,5.34,13.57
